fabricante,version,modelo,ano_revista,mes_revista,valor
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2011,9,28
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2011,10,28
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2011,11,28
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2011,12,26.5
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2012,1,26.5
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2012,2,26.5
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2012,3,26.5
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2012,4,25.7
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2012,5,25.7
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2012,6,25.7
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2012,7,24.9
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2012,8,24.9
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2012,9,24.9
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2012,10,24.9
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2012,11,24.3
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2012,12,24.3
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2013,1,24.3
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2013,2,24.3
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2013,3,24.3
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2013,4,24.3
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2013,5,24.3
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2013,6,23.3
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2013,7,23.3
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2013,8,23.3
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2013,9,23.3
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2013,10,23.3
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2013,11,23.3
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2013,12,22.3
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2014,1,22.3
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2014,2,22.3
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2014,3,22.3
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2014,4,22.3
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2014,5,22.3
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2014,6,20.9
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2014,7,20.9
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2014,8,20.9
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2014,9,20.9
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2014,10,20.9
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2014,11,20.9
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2014,12,20.9
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2015,1,20.9
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2015,2,20.9
Chevrolet,AVEO EMOTION GT 1.6 5P A.A.,2011,2015,3,20.9


